transaction_id,customer_id,amount,merchant,category,timestamp,location,account_balance,card_type
TXN001,CUST12345,45.99,Amazon,retail,2024-01-15 14:30:00,New York,2500.00,credit
TXN002,CUST67890,1250.00,Crypto Exchange,cryptocurrency,2024-01-15 23:45:00,London,5000.00,debit
TXN003,CUST12345,12.50,Starbucks,food,2024-01-16 08:15:00,New York,2450.00,credit
TXN004,CUST54321,850.00,Best Buy,retail,2024-01-16 11:20:00,Los Angeles,3200.00,credit
TXN005,CUST67890,5000.00,Wire Transfer,wire_transfer,2024-01-16 02:30:00,London,4500.00,debit
TXN006,CUST12345,35.75,Uber,travel,2024-01-16 18:45:00,New York,2415.00,credit
TXN007,CUST99999,2500.00,Casino Royal,gambling,2024-01-17 03:15:00,Las Vegas,1000.00,credit
TXN008,CUST54321,67.89,Whole Foods,food,2024-01-17 09:30:00,Los Angeles,3100.00,credit
TXN009,CUST12345,150.00,Shell Gas Station,utilities,2024-01-17 16:00:00,New York,2265.00,debit
TXN010,CUST88888,9999.99,Unknown Merchant 123,retail,2024-01-17 04:20:00,Unknown,500.00,credit
