transaction_id,customer_id,date,issuer,amount,is_fraud,notes
TXN001,CUST001,2023-12-01,USPS,100.00,False,Clean transaction
TXN002,CUST001,2023-12-15,MoneyGram,200.00,False,Clean transaction
TXN003,CUST001,2024-01-05,USPS,150.00,False,Clean transaction
TXN004,CUST002,2023-11-20,Western Union,300.00,False,Clean transaction
TXN005,CUST002,2024-01-10,Walmart,500.00,True,Fraudulent - Amount mismatch detected
TXN006,CUST002,2024-01-16,Western Union,500.00,True,Fraudulent - Similar pattern to previous fraud
TXN007,CUST003,2024-01-20,USPS,1000.00,True,Fraudulent - Invalid serial number
TXN008,CUST004,2023-10-15,7-Eleven,50.00,False,Clean transaction
TXN009,CUST004,2023-11-20,7-Eleven,75.00,False,Clean transaction
TXN010,CUST004,2024-01-08,7-Eleven,60.00,False,Clean transaction
TXN011,CUST005,2024-01-28,USPS,200.00,False,Clean transaction - first time customer
